Location,Price,Price per m2,Size M2,Rooms
"Warszawa, Żoliborz, Ludwika Rydygiera",1 057 210 zł,18 291 zł/m²,57.8 m²,3 pokoje
"Warszawa, Ursynów, Dereniowa",679 000 zł,14 806 zł/m²,45.86 m²,2 pokoje
"Warszawa, Targówek, Bródno-Podgrodzie, ul. Krasnobrodzka 19",579 000 zł,9618 zł/m²,60.2 m²,3 pokoje
"Warszawa, Wola, Chłodna",665 000 zł,12 619 zł/m²,52.7 m²,3 pokoje
"Warszawa, Wawer, Marysin Wawerski, Korkowa",655 000 zł,9465 zł/m²,69.2 m²,3 pokoje
"Warszawa, Ochota, Władysława Korotyńskiego",449 000 zł,10 690 zł/m²,42 m²,2 pokoje
"Warszawa, Rembertów, Nowy Rembertów, Płatnerska",595 000 zł,8440 zł/m²,70.5 m²,4 pokoje
"Warszawa, Bemowo, ul. Widawska",644 900 zł,9998 zł/m²,64.5 m²,3 pokoje
"Warszawa, Żoliborz, Sady Żoliborskie, Braci Załuskich",1 625 000 zł,15 018 zł/m²,108.2 m²,4 pokoje
"Warszawa, Ochota, ul. Włodarzewska",930 000 zł,15 500 zł/m²,60 m²,3 pokoje
"Warszawa, Bemowo, Rozłogi",599 000 zł,11 838 zł/m²,50.6 m²,3 pokoje
"Warszawa, Wola, ul. Żelazna",1 490 000 zł,15 540 zł/m²,95.88 m²,3 pokoje
"Warszawa, Ursus, Górna Droga",669 000 zł,9557 zł/m²,70 m²,3 pokoje
"Warszawa, Ursynów, ul. Lasek Brzozowy",676 000 zł,12 849 zł/m²,52.61 m²,2 pokoje
"Warszawa, Bemowo, ul. Rozłogi",689 000 zł,8710 zł/m²,79.1 m²,4 pokoje
"Warszawa, Mokotów, Wierzbno, Wołoska",729 000 zł,18 112 zł/m²,40.25 m²,2 pokoje
"Warszawa, Rembertów",1 220 000 zł,16 944 zł/m²,72 m²,4 pokoje
"Warszawa, Wola, ul. Jana Olbrachta",860 000 zł,15 357 zł/m²,56 m²,3 pokoje
"Warszawa, Praga-Południe",830 000 zł,14 397 zł/m²,57.65 m²,3 pokoje
"Warszawa, Białołęka",328 808 zł,9200 zł/m²,35.74 m²,2 pokoje
"Warszawa, Praga-Południe, al. Aleja Stanów Zjednoczonych",409 000 zł,11 924 zł/m²,34.3 m²,1 pokój
"Warszawa, Targówek, ul. Ludwika Kondratowicza 18",776 000 zł,13 379 zł/m²,58 m²,3 pokoje
"Warszawa, Wola, Wolska",869 927 zł,11 999 zł/m²,72.5 m²,3 pokoje
"Warszawa, Wola, Sokołowska",518 000 zł,14 000 zł/m²,37 m²,1 pokój
"Warszawa, Wola, Żytnia",579 000 zł,11 135 zł/m²,52 m²,3 pokoje
"Warszawa, Śródmieście, Śródmieście Południowe",1 190 000 zł,23 333 zł/m²,51 m²,2 pokoje
"Warszawa, Bielany",350 000 zł,14 768 zł/m²,23.7 m²,1 pokój
"Warszawa, Białołęka, Tarchomin, Przylesie",699 000 zł,8683 zł/m²,80.5 m²,4 pokoje
