Location,Price,Price per m2,Size M2,Rooms
"Warszawa, Białołęka, Grodzisk, Kąty Grodziskie",499 999 zł,8772 zł/m²,57 m²,3 pokoje
"Warszawa, Bemowo, Obrońców Tobruku 31",715 000 zł,13 119 zł/m²,54.5 m²,2 pokoje
"Warszawa, Wola, Gumińska 2",1 279 000 zł,16 501 zł/m²,77.51 m²,4 pokoje
"Warszawa, Wola, ul. Jana Kazimierza",1 699 999 zł,17 472 zł/m²,97.3 m²,4 pokoje
"Warszawa, Praga-Południe, Grochów, Chrzanowskiego",635 000 zł,14 488 zł/m²,43.83 m²,2 pokoje
"Warszawa, Bemowo, ul. Narwik",600 000 zł,13 590 zł/m²,44.15 m²,2 pokoje
"Warszawa, Ursynów, ul. Na Uboczu 16",680 000 zł,12 879 zł/m²,52.8 m²,3 pokoje
"Warszawa, Śródmieście, Powiśle, 3 Maja",2 300 000 zł,18 548 zł/m²,124 m²,4 pokoje
"Warszawa, Bielany, Piaski, Broniewskiego",490 000 zł,11 768 zł/m²,41.64 m²,2 pokoje
"Warszawa, Wawer, Anin",980 000 zł,15 077 zł/m²,65 m²,2 pokoje
"Warszawa, Ochota, Szczęśliwice, Drawska 23",995 000 zł,13 404 zł/m²,74.23 m²,3 pokoje
"Warszawa, Wola",335 000 zł,11 964 zł/m²,28 m²,1 pokój
"Warszawa, Białołęka",495 000 zł,11 304 zł/m²,43.79 m²,3 pokoje
"Warszawa, Praga-Południe, Saska Kępa, Arabska",599 000 zł,12 479 zł/m²,48 m²,3 pokoje
"Warszawa, Ochota, ul. Sulmierzycka",495 000 zł,13 306 zł/m²,37.2 m²,2 pokoje
"Warszawa, Wola, ul. Obozowa 20",1 552 000 zł,19 771 zł/m²,78.5 m²,4 pokoje
"Warszawa, Mokotów, Dolny Mokotów, ul. Jurija Gagarina",619 000 zł,11 133 zł/m²,55.6 m²,3 pokoje
"Warszawa, Wola",680 000 zł,12 297 zł/m²,55.3 m²,3 pokoje
"Warszawa, Wola",360 000 zł,14 575 zł/m²,24.7 m²,1 pokój
"Warszawa, Wola",699 000 zł,15 485 zł/m²,45.14 m²,2 pokoje
"Warszawa, Mokotów, Sielce, Sułkowicka",2 115 650 zł,19 000 zł/m²,111.35 m²,3 pokoje
"Warszawa, Wilanów, Syta",1 760 000 zł,12 509 zł/m²,140.7 m²,5 pokoi
"Warszawa, Żoliborz, Kazimierza Promyka",579 000 zł,12 319 zł/m²,47 m²,2 pokoje
"Warszawa, Białołęka, Głębocka",670 000 zł,11 167 zł/m²,60 m²,3 pokoje
"Warszawa, Wilanów, ul. Prymasa Augusta Hlonda",1 680 000 zł,16 201 zł/m²,103.7 m²,3 pokoje
"Warszawa, Wola",2 600 000 zł,12 935 zł/m²,201 m²,3 pokoje
"Warszawa, Wola, Mirów, Łucka",2 600 000 zł,12 935 zł/m²,201 m²,3 pokoje
"Warszawa, Targówek, Malborska",525 000 zł,9795 zł/m²,53.6 m²,3 pokoje
"Warszawa, Wola, Pustola",483 000 zł,12 545 zł/m²,38.5 m²,2 pokoje
"Warszawa, Włochy",765 000 zł,8847 zł/m²,86.47 m²,4 pokoje
"Warszawa, Praga-Południe, Gocław, Stanisława Mikołajczyka",784 000 zł,14 000 zł/m²,56 m²,2 pokoje
"Warszawa, Mokotów, Czerniaków",420 000 zł,11 230 zł/m²,37.4 m²,2 pokoje
"Warszawa, Śródmieście",648 000 zł,14 965 zł/m²,43.3 m²,2 pokoje
"Warszawa, Bielany, Kazimierza Wierzyńskiego",2 137 500 zł,25 000 zł/m²,85.5 m²,4 pokoje
"Warszawa, Bielany, Lekka",635 000 zł,12 959 zł/m²,49 m²,2 pokoje
"Warszawa, Centrum",400 000 zł,9524 zł/m²,42 m²,2 pokoje
"Warszawa, Praga-Południe",595 000 zł,10 721 zł/m²,55.5 m²,4 pokoje
"Warszawa, Wola",1 379 000 zł,18 890 zł/m²,73 m²,4 pokoje
"Warszawa, Bemowo, Szeligowska",755 000 zł,11 984 zł/m²,63 m²,3 pokoje
"Warszawa, Bielany, ul. Rudzka",600 000 zł,19 355 zł/m²,31 m²,1 pokój
"Warszawa, Wilanów",820 000 zł,17 012 zł/m²,48.2 m²,2 pokoje
"Warszawa, Praga-Południe, Aleja Stanów Zjednoczonych",610 000 zł,14 878 zł/m²,41 m²,2 pokoje
"Warszawa, Mokotów, Aleja Wyścigowa",1 073 000 zł,14 500 zł/m²,74 m²,3 pokoje
"Warszawa, Bielany, Aleja Władysława Reymonta",355 000 zł,13 654 zł/m²,26 m²,1 pokój
"Warszawa, Ursus, Posag 7 Panien",636 000 zł,13 305 zł/m²,47.8 m²,2 pokoje
"Warszawa, Praga-Południe",525 000 zł,10 500 zł/m²,50 m²,2 pokoje
"Warszawa, Mokotów, Górny Mokotów",950 000 zł,13 255 zł/m²,71.67 m²,4 pokoje
"Warszawa, Mokotów, ul. Polska",1 030 000 zł,12 118 zł/m²,85 m²,4 pokoje
"Warszawa, Ursus, Zagłoby",556 950 zł,9440 zł/m²,59 m²,3 pokoje
"Warszawa, Wola, Żelazna",820 000 zł,17 336 zł/m²,47.3 m²,3 pokoje
"Warszawa, Wola, Jana Ostroroga",956 888 zł,15 384 zł/m²,62.2 m²,3 pokoje
"Warszawa, Białołęka",649 000 zł,11 694 zł/m²,55.5 m²,2 pokoje
"Warszawa, Targówek",620 000 zł,13 305 zł/m²,46.6 m²,2 pokoje
"Warszawa, Bemowo, ul. Aleksandra Świętochowskiego",389 000 zł,10 658 zł/m²,36.5 m²,2 pokoje
"Warszawa, Ochota, Mołdawska",850 000 zł,18 889 zł/m²,45 m²,3 pokoje
"Warszawa, Żoliborz, gen. Józefa Zajączka",730 000 zł,15 130 zł/m²,48.25 m²,2 pokoje
"Warszawa, Mokotów, al. Niepodległości",749 000 zł,13 693 zł/m²,54.7 m²,3 pokoje
"Warszawa, Wola, Monte Cassino",375 000 zł,15 625 zł/m²,24 m²,1 pokój
"Warszawa, Praga-Południe, Gocław, Optyków",1 131 300 zł,15 000 zł/m²,75.42 m²,4 pokoje
"Warszawa, Śródmieście, al. Solidarności",649 900 zł,15 114 zł/m²,43 m²,2 pokoje
"Warszawa, Bielany, Szegedyńska",550 000 zł,11 458 zł/m²,48 m²,3 pokoje
"Warszawa, Bemowo, Wrocławska",999 000 zł,12 425 zł/m²,80.4 m²,4 pokoje
"Warszawa, Bemowo",560 000 zł,10 000 zł/m²,56 m²,3 pokoje
"Warszawa, Praga-Południe, Saska Kępa, Libijska",699 000 zł,13 706 zł/m²,51 m²,2 pokoje
"Warszawa, Ursynów, Jana Wasilkowskiego",860 000 zł,13 670 zł/m²,62.91 m²,3 pokoje
"Warszawa, Śródmieście, ul. Wspólna",1 189 000 zł,17 232 zł/m²,69 m²,3 pokoje
"Warszawa, Śródmieście, Nowolipki",599 000 zł,15 693 zł/m²,38.17 m²,2 pokoje
"Warszawa, Białołęka, Daniszewska",750 000 zł,11 194 zł/m²,67 m²,3 pokoje
"Warszawa, Śródmieście, Pokorna",750 000 zł,18 750 zł/m²,40 m²,2 pokoje
"Warszawa, Żoliborz, Włościańska",590 000 zł,13 882 zł/m²,42.5 m²,2 pokoje
"Warszawa, Żoliborz, Władysława Broniewskiego",589 000 zł,14 024 zł/m²,42 m²,2 pokoje
"Warszawa, Praga-Południe, Szaserów",560 000 zł,10 000 zł/m²,56 m²,3 pokoje
"Warszawa, Śródmieście, Stanisława Moniuszki",699 000 zł,19 119 zł/m²,36.56 m²,2 pokoje
"Warszawa, Praga-Południe, Grochów, Ostrobramska",639 000 zł,10 776 zł/m²,59.3 m²,4 pokoje
"Warszawa, Praga-Południe, Budrysów",559 000 zł,9270 zł/m²,60.3 m²,3 pokoje
"Warszawa, Śródmieście, Powiśle, Solec",579 000 zł,16 083 zł/m²,36 m²,2 pokoje
"Warszawa, Mokotów",625 000 zł,16 361 zł/m²,38.2 m²,2 pokoje
"Warszawa, Wola, ul. Dzielna",369 000 zł,17 163 zł/m²,21.5 m²,1 pokój
"Warszawa, Bemowo, ul. Dywizjonu 303",850 000 zł,13 710 zł/m²,62 m²,3 pokoje
"Warszawa, Targówek, Aleksandra Gajkowicza",674 900 zł,12 271 zł/m²,55 m²,3 pokoje
"Warszawa, Białołęka, Białołęcka",495 000 zł,10 102 zł/m²,49 m²,3 pokoje
"Warszawa, Włochy, Strubiczów",525 000 zł,14 189 zł/m²,37 m²,2 pokoje
"Warszawa, Żoliborz, Stanisława Wyspiańskiego",432 900 zł,24 737 zł/m²,17.5 m²,1 pokój
"Warszawa, Mokotów, Czerniakowska",400 000 zł,13 333 zł/m²,30 m²,1 pokój
"Warszawa, Praga-Południe, Grochów, Boremlowska",525 000 zł,12 209 zł/m²,43 m²,2 pokoje
"Warszawa, Praga-Południe, Ludwika Kickiego",347 000 zł,13 715 zł/m²,25.3 m²,1 pokój
"Warszawa, Żoliborz, Władysława Broniewskiego",515 000 zł,12 262 zł/m²,42 m²,2 pokoje
"Warszawa, Żoliborz",690 000 zł,13 911 zł/m²,49.6 m²,2 pokoje
"Warszawa, Mokotów, Ksawerów",1 395 000 zł,18 506 zł/m²,75.38 m²,3 pokoje
"Warszawa, Białołęka, Jesiennych Liści",679 000 zł,10 194 zł/m²,66.61 m²,3 pokoje
"Warszawa, Ochota, Stara Ochota, Szczęśliwicka",649 000 zł,11 800 zł/m²,55 m²,2 pokoje
"Warszawa, Praga-Północ, Wiosenna",542 820 zł,9960 zł/m²,54.5 m²,2 pokoje
"Warszawa, Praga-Południe, Gocław, gen. Tadeusza Bora-Komorowskiego",619 900 zł,10 828 zł/m²,57.25 m²,3 pokoje
"Warszawa, Mokotów, Służewiec, Wolfganga Amadeusza Mozarta",665 000 zł,13 971 zł/m²,47.6 m²,2 pokoje
"Warszawa, Białołęka, Pomorska",540 000 zł,10 574 zł/m²,51.07 m²,2 pokoje
"Warszawa, Targówek, Lewinowska",480 000 zł,11 453 zł/m²,41.91 m²,2 pokoje
"Warszawa, Ursynów",660 000 zł,15 000 zł/m²,44 m²,2 pokoje
"Warszawa, Mokotów, Stegny, Czarnomorska",599 000 zł,12 479 zł/m²,48 m²,2 pokoje
"Warszawa, Praga-Południe, Olszynka Grochowska, Szaserów",822 000 zł,13 677 zł/m²,60.1 m²,3 pokoje
"Warszawa, Ochota, Bitwy Warszawskiej 1920 roku",460 000 zł,14 839 zł/m²,31 m²,2 pokoje
"Warszawa, Bemowo, Jelonki, Czumy",570 000 zł,11 332 zł/m²,50.3 m²,2 pokoje
"Warszawa, Mokotów, Stegny, Pory",560 000 zł,17 047 zł/m²,32.85 m²,2 pokoje
"Warszawa, Praga-Południe, ul. Igańska",710 000 zł,9861 zł/m²,72 m²,3 pokoje
"Warszawa, Praga-Południe, Gocławek, Łukowska",480 000 zł,10 000 zł/m²,48 m²,2 pokoje
"Warszawa, Wola, Mirów, Grzybowska",712 950 zł,14 640 zł/m²,48.7 m²,3 pokoje
"Warszawa, Białołęka, Mehoffera",498 000 zł,9396 zł/m²,53 m²,2 pokoje
"Warszawa, Mokotów",689 000 zł,15 040 zł/m²,45.81 m²,2 pokoje
"Warszawa, Bemowo, Jelonki, Rozłogi",746 000 zł,10 998 zł/m²,67.83 m²,3 pokoje
"Warszawa, Śródmieście, Miła",399 000 zł,17 198 zł/m²,23.2 m²,1 pokój
"Warszawa, Wola",1 413 000 zł,17 006 zł/m²,83.09 m²,4 pokoje
"Warszawa, Ochota, Ciche/słoneczne/z lat 30/po remoncie",740 000 zł,18 858 zł/m²,39.24 m²,2 pokoje
"Warszawa, Bielany, Stare Bielany, przy Przybyszewskiego/cisza/zieleń/kamienica",597 000 zł,12 978 zł/m²,46 m²,2 pokoje
"Warszawa, Śródmieście, Elektoralna/ciche/zieleń/kamienica/Ogród Saski",684 000 zł,16 286 zł/m²,42 m²,2 pokoje
"Warszawa, Mokotów, Górny Mokotów, Olesińska/ciche/słoneczne/kamienica z 1930 r.",779 000 zł,16 574 zł/m²,47 m²,2 pokoje
"Warszawa, Śródmieście, Hoża/ciche/wysokie/winda/balkon/przedwojenna kamienica z 1901 r.",1 750 000 zł,26 923 zł/m²,65 m²,2 pokoje
"Warszawa, Bemowo, ul. Puszczy Solskiej",439 000 zł,10 596 zł/m²,41.43 m²,2 pokoje
"Warszawa, Praga-Południe, Gocław, Ostrobramska",750 000 zł,15 547 zł/m²,48.24 m²,2 pokoje
"Warszawa, Ochota, al. Aleja Bohaterów Września",949 000 zł,17 574 zł/m²,54 m²,2 pokoje
"Warszawa, Ursus, Mariana Keniga",420 000 zł,11 111 zł/m²,37.8 m²,2 pokoje
"Warszawa, Praga-Północ, Łochowska",480 000 zł,15 000 zł/m²,32 m²,2 pokoje
"Warszawa, Bemowo",710 000 zł,8373 zł/m²,84.8 m²,4 pokoje
"Warszawa, Targówek",515 000 zł,9364 zł/m²,55 m²,3 pokoje
"Warszawa, Bielany",619 000 zł,11 255 zł/m²,55 m²,3 pokoje
"Warszawa, Bielany, Marymoncka",589 999 zł,12 041 zł/m²,49 m²,2 pokoje
"Warszawa, Praga-Południe, Międzyborska",975 000 zł,15 420 zł/m²,63.23 m²,3 pokoje
"Warszawa, Wola, Czyste, Płocka",765 000 zł,18 389 zł/m²,41.6 m²,2 pokoje
"Warszawa, Bielany, Stare Bielany, Sándora Petöfiego",589 000 zł,10 370 zł/m²,56.8 m²,3 pokoje
"Warszawa, Bielany, ul. Władysława Broniewskiego 77",390 000 zł,9286 zł/m²,42 m²,2 pokoje
"Warszawa, Białołęka, Strumykowa",207 000 zł,9000 zł/m²,23 m²,1 pokój
"Warszawa, Praga-Północ, Ząbkowska",460 000 zł,9892 zł/m²,46.5 m²,3 pokoje
"Warszawa, Bemowo, Wrocławska",735 000 zł,10 962 zł/m²,67.05 m²,3 pokoje
"Warszawa, Bemowo, Juliusza Kaden-Bandrowskiego",799 000 zł,10 377 zł/m²,77 m²,4 pokoje
"Warszawa, Mokotów, Augustówka",599 000 zł,14 975 zł/m²,40 m²,2 pokoje
"Warszawa, Wola, Odolany, Juliana Konstantego Ordona",685 000 zł,14 973 zł/m²,45.75 m²,2 pokoje
"Warszawa, Wola, Odolany, Gumińska",967 824 zł,14 400 zł/m²,67.21 m²,3 pokoje
"Warszawa, Ursynów, Grzegorzewskiej Marii",528 000 zł,11 234 zł/m²,47 m²,2 pokoje
"Warszawa, Ursynów, ul. Ferdynanda Magellana",649 000 zł,10 237 zł/m²,63.4 m²,3 pokoje
"Warszawa, Ursynów, Kabaty, Stryjeńskich",810 000 zł,13 966 zł/m²,58 m²,3 pokoje
"Warszawa, Śródmieście, Śródmieście Północne",710 000 zł,16 512 zł/m²,43 m²,2 pokoje
"Warszawa, Mokotów",430 000 zł,17 917 zł/m²,24 m²,1 pokój
"Warszawa, Żoliborz",695 000 zł,12 523 zł/m²,55.5 m²,3 pokoje
"Warszawa, Wilanów",2 190 000 zł,19 993 zł/m²,109.54 m²,4 pokoje
"Warszawa, Śródmieście, Powiśle",765 000 zł,13 190 zł/m²,58 m²,3 pokoje
"Warszawa, Wola, Muranów",699 000 zł,15 533 zł/m²,45 m²,2 pokoje
"Warszawa, Targówek, Bródno, Wacława Tokarza",530 000 zł,11 277 zł/m²,47 m²,3 pokoje
"Warszawa, Targówek, Michała Ossowskiego",524 900 zł,11 796 zł/m²,44.5 m²,2 pokoje
"Warszawa, Śródmieście, Śródmieście Północne, Grzybowska",487 000 zł,18 240 zł/m²,26.7 m²,2 pokoje
"Warszawa, Wola, Wolska",644 000 zł,15 518 zł/m²,41.5 m²,2 pokoje
"Warszawa, Wola",389 900 zł,18 160 zł/m²,21.47 m²,1 pokój
"Warszawa, Białołęka, Tarchomin, Ceramiczna",590 000 zł,10 137 zł/m²,58.2 m²,3 pokoje
"Warszawa, Śródmieście, Stanisława Dubois",565 000 zł,15 270 zł/m²,37 m²,2 pokoje
"Warszawa, Mokotów, Sadyba, ul. Bernardyńska",699 500 zł,13 198 zł/m²,53 m²,3 pokoje
"Warszawa, Mokotów, Służewiec, ul. Komputerowa",977 000 zł,16 526 zł/m²,59.12 m²,3 pokoje
"Warszawa, Mokotów, ul. Bełdan",749 000 zł,13 544 zł/m²,55.3 m²,3 pokoje
"Warszawa, Mokotów, ul.Sielecka 26",719 999 zł,14 314 zł/m²,50.3 m²,2 pokoje
"Warszawa, Śródmieście",2 040 000 zł,20 020 zł/m²,101.9 m²,5 pokoi
"Warszawa, Praga-Południe, Saska Kępa",2 040 000 zł,18 529 zł/m²,110.1 m²,5 pokoi
"Warszawa, Targówek, Bródno, Wyszogrodzka",679 000 zł,12 482 zł/m²,54.4 m²,2 pokoje
"Warszawa, Targówek, Zacisze",759 000 zł,11 261 zł/m²,67.4 m²,3 pokoje
"Warszawa, Białołęka, Winorośli",715 000 zł,13 000 zł/m²,55 m²,3 pokoje
"Warszawa, Śródmieście, Czerniakowska",1 100 000 zł,17 427 zł/m²,63.12 m²,2 pokoje
"Warszawa, Wola, Mirów, Krochmalna",625 000 zł,12 887 zł/m²,48.5 m²,2 pokoje
"Warszawa, Mokotów, Nicejska",610 000 zł,12 708 zł/m²,48 m²,2 pokoje
"Warszawa, Mokotów, Służewiec, ul. Konstruktorska",1 080 000 zł,16 423 zł/m²,65.76 m²,3 pokoje
"Warszawa, Praga-Południe, Grochów, Grochowska",440 000 zł,10 353 zł/m²,42.5 m²,1 pokój
"Warszawa, Ursynów, Eugeniusza Romera",709 000 zł,11 186 zł/m²,63.38 m²,3 pokoje
"Warszawa, Wawer, Las, Wał Miedzeszyński",599 000 zł,8809 zł/m²,68 m²,3 pokoje
"Warszawa, Śródmieście",644 900 zł,13 161 zł/m²,49 m²,3 pokoje
"Warszawa, Włochy",580 000 zł,13 182 zł/m²,44 m²,2 pokoje
"Warszawa, Praga-Południe, Afrykańska",640 000 zł,11 490 zł/m²,55.7 m²,3 pokoje
"Warszawa, Wola, Muranów",459 000 zł,19 784 zł/m²,23.2 m²,1 pokój
"Warszawa, Ochota, Grójecka",630 000 zł,17 027 zł/m²,37 m²,2 pokoje
"Warszawa, Wola, Niska",689 000 zł,14 265 zł/m²,48.3 m²,2 pokoje
"Warszawa, Praga-Południe, Majdańska 11",720 000 zł,8623 zł/m²,83.5 m²,3 pokoje
"Warszawa, Mokotów, ul. Śniardwy",440 000 zł,13 456 zł/m²,32.7 m²,2 pokoje
"Warszawa, Ochota, Grójecka",540 000 zł,11 963 zł/m²,45.14 m²,2 pokoje
"Warszawa, Wilanów",1 206 360 zł,27 000 zł/m²,44.68 m²,2 pokoje
"Warszawa, Bemowo, Waleriana Czumy",495 000 zł,10 313 zł/m²,48 m²,2 pokoje
"Warszawa, Bemowo, Andrzeja Sołtana",515 000 zł,10 290 zł/m²,50.05 m²,2 pokoje
"Warszawa, Wilanów",1 590 000 zł,19 388 zł/m²,82.01 m²,4 pokoje
"Warszawa, Wola, Marcina Kasprzaka",748 000 zł,11 597 zł/m²,64.5 m²,3 pokoje
"Warszawa, Ursus, Posag 7 Panien",799 999 zł,13 143 zł/m²,60.87 m²,3 pokoje
"Warszawa, Wola, Górczewska",1 060 000 zł,12 796 zł/m²,82.84 m²,4 pokoje
"Warszawa, Śródmieście, Wilcza",1 162 000 zł,19 993 zł/m²,58.12 m²,2 pokoje
"Warszawa, Białołęka, Nowodwory",530 000 zł,9356 zł/m²,56.65 m²,3 pokoje
"Warszawa, Ursus, Posag 7 Panien",633 000 zł,10 914 zł/m²,58 m²,2 pokoje
"Warszawa, Żoliborz",440 000 zł,20 677 zł/m²,21.28 m²,1 pokój
"Warszawa, Praga-Południe, Saska Kępa, ul. Egipska",660 000 zł,11 579 zł/m²,57 m²,3 pokoje
"Warszawa, Praga-Południe",529 000 zł,10 907 zł/m²,48.5 m²,2 pokoje
"Warszawa, Śródmieście",1 150 000 zł,25 556 zł/m²,45 m²,2 pokoje
"Warszawa, Mokotów, Etiudy Rewolucyjnej",577 000 zł,11 872 zł/m²,48.6 m²,3 pokoje
"Warszawa, Śródmieście, Śródmieście Północne, Królewska",488 000 zł,18 074 zł/m²,27 m²,2 pokoje
"Warszawa, Bielany, Marii Dąbrowskiej",455 000 zł,10 271 zł/m²,44.3 m²,2 pokoje
"Warszawa, Praga-Południe",770 000 zł,8851 zł/m²,87 m²,4 pokoje
"Warszawa, Ursus, Dzieci Warszawy",649 000 zł,10 570 zł/m²,61.4 m²,3 pokoje
"Warszawa, Bemowo, ul. Grodkowska",999 999 zł,12 987 zł/m²,77 m²,3 pokoje
"Warszawa, Ursynów, Xawerego Dunikowskiego",999 999 zł,15 579 zł/m²,64.19 m²,3 pokoje
"Warszawa, Białołęka, Tarchomin, ul. Edwarda Wittiga",578 999 zł,9445 zł/m²,61.3 m²,3 pokoje
"Warszawa, Wola, Muranów",634 500 zł,12 690 zł/m²,50 m²,3 pokoje
"Warszawa, Bemowo, ul. Aleksandra Świętochowskiego",380 000 zł,10 400 zł/m²,36.54 m²,2 pokoje
"Warszawa, Mokotów, ul. Czerniakowska",359 999 zł,12 121 zł/m²,29.7 m²,1 pokój
"Warszawa, Targówek, Wyszogrodzka",679 000 zł,12 482 zł/m²,54.4 m²,2 pokoje
"Warszawa, Wilanów, Nadwilanówka, Mozarta",665 000 zł,14 425 zł/m²,46.1 m²,2 pokoje
"Warszawa, Praga-Południe, Grochów, Wiatraczna",820 000 zł,14 643 zł/m²,56 m²,2 pokoje
"Warszawa, Mokotów, Sielce, Czerniakowska",590 000 zł,13 199 zł/m²,44.7 m²,2 pokoje
"Warszawa, Praga-Południe, Gocław, Samolotowa",619 000 zł,9841 zł/m²,62.9 m²,3 pokoje
"Warszawa, Ochota, Rakowiec",450 000 zł,11 084 zł/m²,40.6 m²,3 pokoje
"Warszawa, Ursus, SIlnikowa",918 000 zł,11 442 zł/m²,80.23 m²,4 pokoje
"Warszawa, Śródmieście, Bagno",575 000 zł,16 842 zł/m²,34.14 m²,2 pokoje
"Warszawa, Mokotów, Nałęczowska",794 000 zł,15 723 zł/m²,50.5 m²,2 pokoje
"Warszawa, Białołęka, ul. Aluzyjna",489 000 zł,9551 zł/m²,51.2 m²,2 pokoje
"Warszawa, Ursus, Edwarda Habicha",579 000 zł,14 349 zł/m²,40.35 m²,2 pokoje
"Warszawa, Śródmieście",1 614 000 zł,19 683 zł/m²,82 m²,3 pokoje
"Warszawa, Śródmieście, Pańska",720 000 zł,18 947 zł/m²,38 m²,2 pokoje
"Warszawa, Śródmieście, Niska",715 000 zł,20 429 zł/m²,35 m²,2 pokoje
"Warszawa, Białołęka, Dzierzgońska",649 000 zł,13 809 zł/m²,47 m²,3 pokoje
"Warszawa, Białołęka",540 000 zł,10 588 zł/m²,51 m²,2 pokoje
"Warszawa, Ursynów",694 400 zł,11 200 zł/m²,62 m²,3 pokoje
"Warszawa, mazowieckie",714 000 zł,13 451 zł/m²,53.08 m²,2 pokoje
"Warszawa, Bemowo, ul. Powstańców Śląskich",869 000 zł,14 957 zł/m²,58.1 m²,2 pokoje
"Warszawa, Wola, Dzielna",720 000 zł,13 806 zł/m²,52.15 m²,2 pokoje
"Warszawa, Ursus, Żurawicka",745 000 zł,12 845 zł/m²,58 m²,2 pokoje
"Warszawa, Praga-Północ, ul. Jagiellońska",1 800 000 zł,25 000 zł/m²,72 m²,3 pokoje
"Warszawa, Ursynów, ul. Ekologiczna",510 000 zł,11 860 zł/m²,43 m²,2 pokoje
"Warszawa, Śródmieście, Powiśle, Zajęcza",1 495 000 zł,42 714 zł/m²,35 m²,2 pokoje
"Warszawa, Mokotów, Domaniewska",730 000 zł,12 402 zł/m²,58.86 m²,2 pokoje
"Warszawa, Bemowo, Górce, ul. Górczewska",630 000 zł,15 403 zł/m²,40.9 m²,2 pokoje
"Warszawa, Bemowo, ul. Zenona Klemensiewicza",600 000 zł,12 346 zł/m²,48.6 m²,2 pokoje
"Warszawa, Bemowo, ul. Lazurowa",929 000 zł,14 196 zł/m²,65.44 m²,3 pokoje
"Warszawa, Mokotów, Krymska",589 000 zł,9203 zł/m²,64 m²,4 pokoje
"Warszawa, Ochota",875 000 zł,17 500 zł/m²,50 m²,2 pokoje
"Warszawa, Targówek, ul. Pożarowa 3",850 000 zł,12 412 zł/m²,68.48 m²,3 pokoje
"Warszawa, Bemowo, Powstańców Śląskich",1 795 050 zł,15 000 zł/m²,119.67 m²,4 pokoje
"Warszawa, Ursus, Ryżowa 48",899 000 zł,11 736 zł/m²,76.6 m²,3 pokoje
"Warszawa, Mokotów",2 044 000 zł,18 014 zł/m²,113.47 m²,3 pokoje
"Warszawa, Praga-Północ, Karola Darwina",520 000 zł,14 215 zł/m²,36.58 m²,2 pokoje
"Warszawa, Targówek",609 000 zł,9984 zł/m²,61 m²,3 pokoje
"Warszawa, Praga-Północ",399 000 zł,10 784 zł/m²,37 m²,2 pokoje
"Warszawa, Ursynów, Xawerego Dunikowskiego",918 000 zł,17 000 zł/m²,54 m²,2 pokoje
"Warszawa, Bemowo, Powstańców Śląskich",1 357 500 zł,15 000 zł/m²,90.5 m²,3 pokoje
"Warszawa, Śródmieście, Emili Plater",2 150 000 zł,29 861 zł/m²,72 m²,3 pokoje
"Warszawa, Bemowo, Powstańców Śląskich",1 470 700 zł,14 000 zł/m²,105.05 m²,3 pokoje
"Warszawa, Praga-Południe, Gocław, Rogalskiego",569 000 zł,14 673 zł/m²,38.78 m²,2 pokoje
"Warszawa, mazowieckie",1 400 000 zł,18 988 zł/m²,73.73 m²,3 pokoje
"Warszawa, mazowieckie",6 294 146 zł,28 480 zł/m²,221 m²,6 pokoi
"Warszawa, Wola",321 000 zł,11 464 zł/m²,28 m²,1 pokój
"Warszawa, Białołęka, Krzyżówki",749 000 zł,15 389 zł/m²,48.67 m²,2 pokoje
"Warszawa, Mokotów, Cybernetyki",495 000 zł,15 330 zł/m²,32.29 m²,1 pokój
"Warszawa, Ursus, Posag 7 Panien",449 000 zł,11 225 zł/m²,40 m²,2 pokoje
"Warszawa, Targówek, Targówek Mieszkaniowy, Szymona Askenazego",565 000 zł,8129 zł/m²,69.5 m²,4 pokoje
"Warszawa, Śródmieście, rondo ONZ",980 000 zł,15 433 zł/m²,63.5 m²,3 pokoje
"Warszawa, Praga-Południe, Gocław, ul. Samolotowa",639 000 zł,10 695 zł/m²,59.75 m²,3 pokoje
"Warszawa, Ursynów, Wąwozowa",599 000 zł,15 320 zł/m²,39.1 m²,2 pokoje
"Warszawa, Wilanów, Królowej Marysieńki",1 250 000 zł,12 376 zł/m²,101 m²,4 pokoje
"Warszawa, Mokotów, Sielecka",2 550 000 zł,28 333 zł/m²,90 m²,4 pokoje
"Warszawa, Białołęka, Skarbka z Gór",515 000 zł,11 344 zł/m²,45.4 m²,2 pokoje
"Warszawa, Bemowo, Górczewska",708 000 zł,13 882 zł/m²,51 m²,3 pokoje
"Warszawa, Mokotów, Wita Stwosza",660 000 zł,11 478 zł/m²,57.5 m²,3 pokoje
"Warszawa, Mokotów, Aleja Niepodległości",860 000 zł,19 793 zł/m²,43.45 m²,2 pokoje
"Warszawa, Bielany, Przy Agorze",359 000 zł,14 713 zł/m²,24.4 m²,1 pokój
"Warszawa, Bielany",365 000 zł,14 959 zł/m²,24.4 m²,1 pokój
"Warszawa, Wola, Ogrodowa",348 000 zł,17 400 zł/m²,20 m²,1 pokój
"Warszawa, Bielany, Chomiczówka",597 000 zł,10 474 zł/m²,57 m²,3 pokoje
"Warszawa, Mokotów, Puławska",569 000 zł,13 233 zł/m²,43 m²,2 pokoje
"Warszawa, Targówek, Janinówka",338 000 zł,10 274 zł/m²,32.9 m²,1 pokój
"Warszawa, Ursynów, Hawajska",879 000 zł,12 328 zł/m²,71.3 m²,4 pokoje
"Warszawa, Ochota, Szczęśliwice",810 000 zł,13 404 zł/m²,60.43 m²,3 pokoje
